phylum,class,order,family,genus
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera
 Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia
 Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineosporia
 Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Candidatus Aquiluna
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Candidatus Aquiluna
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Candidatus Rhodoluna
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryocola
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryocola
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Frigoribacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Mycetocola
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pseudoclavibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pseudoclavibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Yonghaparkia
 Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Citricoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Citricoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Microbispora
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Microbispora
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Nesterenkonia
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Renibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Sinomonas
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Zhihengliuella
 Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinocatenispora
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pilimelia
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pilimelia
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Solwaraspora
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Actinopolymorpha
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Friedmanniella
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Pimelobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Propionicimonas
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Prauseria
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Streptomonospora
 Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium
 Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora
 Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Xylanimicrobium
 Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Xylanimicrobium
 Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Luteococcus
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Microlunatus
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Tessaracoccus
 Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinomycetospora
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Jiangella
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Prauserella
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharomonospora
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Thermobispora
 Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Rarobacteraceae,Rarobacter
 Actinobacteria,Actinobacteria,Actinomycetales,Rarobacteraceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Ruaniaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,Sanguibacter
 Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,Sporichthya
 Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Kitasatospora
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
 Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea
 Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea
 Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Sphaerisporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Streptosporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Streptosporangium
 Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinoallomurus
 Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinoallomurus
 Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinocorallia
 Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura
 Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura
 Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,Tsukamurella
 Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,Williamsiaceae,Williamsia
 Actinobacteria,Actinobacteria,Actinomycetales,Williamsiaceae,Williamsia
 Actinobacteria,Actinobacteria,Actinomycetales,Yaniellaceae,Yaniella
 Actinobacteria,Actinobacteria,Actinomycetales,Yaniellaceae,
 Actinobacteria,Actinobacteria,Actinomycetales,,
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia
 Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,
 Actinobacteria,Actinobacteria,Bifidobacteriales,,
 Actinobacteria,Actinobacteria,Micrococcales,,
 Actinobacteria,Actinobacteria,WCHB1-81,55_st3,
 Actinobacteria,Actinobacteria,WCHB1-81,At425_EubF1,
 Actinobacteria,Actinobacteria,WCHB1-81,,
 Actinobacteria,Actinobacteria,,,
 Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Adlercreutzia
 Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium
 Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium
 Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
